time,hash-rate
2012-07-23,13.75625939
2012-07-26,13.73126462
2012-07-29,14.8446104
2012-08-01,15.40145105
2012-08-04,15.5432419
2012-08-07,14.99849676
2012-08-10,15.7216644
2012-08-13,16.23937818
2012-08-16,17.16315851
2012-08-19,17.12975721
2012-08-22,17.7987668
2012-08-25,17.82988352
2012-08-28,18.03195132
2012-08-31,18.54599769
2012-09-03,18.75337889
2012-09-06,19.15201818
2012-09-09,20.63748681
2012-09-12,21.35228908
2012-09-15,19.95435567
2012-09-18,20.56656984
2012-09-21,20.99284413
2012-09-24,22.13229006
2012-09-27,21.94642792
2012-09-30,21.80405073
2012-10-03,21.43793793
2012-10-06,21.13559157
2012-10-09,21.26974888
2012-10-12,21.97433723
2012-10-15,22.40818397
2012-10-18,22.20897793
2012-10-21,22.63454363
2012-10-24,22.99616322
2012-10-27,22.99616322
2012-10-30,23.93433686
2012-11-02,24.45680662
2012-11-05,23.88593548
2012-11-08,24.14628575
2012-11-11,25.17877999
2012-11-14,24.36685165
2012-11-17,23.55039314
2012-11-20,23.4447252
2012-11-23,24.49734552
2012-11-26,24.66480784
2012-11-29,25.95652087
2012-12-02,26.18266273
2012-12-05,25.27604426
2012-12-08,23.42002555
2012-12-11,22.10127542
2012-12-14,22.78033607
2012-12-17,21.34595108
2012-12-20,20.7740481
2012-12-23,21.13304662
2012-12-26,21.63564456
2012-12-29,23.30971664
2013-01-01,23.29684709
2013-01-04,23.65664676
2013-01-07,22.85257469
2013-01-10,22.47556796
2013-01-13,21.86121764
2013-01-16,21.29967359
2013-01-19,20.6073765
2013-01-22,21.16121417
2013-01-25,22.01504724
2013-01-28,22.1280258
2013-01-31,22.30539592
2013-02-03,23.42283561
2013-02-06,24.8726576
2013-02-09,25.14463356
2013-02-12,25.2377553
2013-02-15,25.00514926
2013-02-18,27.30794906
2013-02-21,29.59510131
2013-02-24,30.77256206
2013-02-27,31.2945395
2013-03-02,32.12481166
2013-03-05,33.41230617
2013-03-08,34.08914211
2013-03-11,35.36089355
2013-03-14,34.46136204
2013-03-17,38.22467566
2013-03-20,42.98902391
2013-03-23,47.85131533
2013-03-26,52.65649086
2013-03-29,53.68090657
2013-04-01,52.40030936
2013-04-04,59.67548843
2013-04-07,59.22531031
2013-04-10,60.26299447
2013-04-13,64.73359302
2013-04-16,63.80727056
2013-04-19,66.69336865
2013-04-22,68.01745473
2013-04-25,70.29492659
2013-04-28,73.92757465
2013-05-01,75.22107937
2013-05-04,73.88575317
2013-05-07,75.27739834
2013-05-10,80.35790716
2013-05-13,85.00907721
2013-05-16,86.74510902
2013-05-19,86.38343731
2013-05-22,82.70322426
2013-05-25,85.56327812
2013-05-28,94.27157207
2013-05-31,99.52252389
2013-06-03,108.6605801
2013-06-06,123.8833178
2013-06-09,132.342721
2013-06-12,136.5337967
2013-06-15,139.193546
2013-06-18,143.4983815
2013-06-21,137.7097321
2013-06-24,149.9721199
2013-06-27,157.5256608
2013-06-30,160.3571893
2013-07-03,168.0375139
2013-07-06,175.2995432
2013-07-09,187.8750506
2013-07-12,203.8510744
2013-07-15,209.212084
2013-07-18,218.3088907
2013-07-21,222.0247868
2013-07-24,237.8693025
2013-07-27,247.2180145
2013-07-30,249.0506518
2013-08-02,278.5726988
2013-08-05,298.2627314
2013-08-08,324.086807
2013-08-11,355.031657
2013-08-14,395.3663822
2013-08-17,417.6460719
2013-08-20,449.9524544
2013-08-23,479.5403463
2013-08-26,510.1153164
2013-08-29,540.6423123
2013-09-01,584.5862042
2013-09-04,661.1613938
2013-09-07,725.4965437
2013-09-10,723.4877769
2013-09-13,796.3840345
2013-09-16,895.8337967
2013-09-19,935.2841392
2013-09-22,1003.784054
2013-09-25,1082.96702
2013-09-28,1244.744003
2013-10-01,1285.237482
2013-10-04,1327.38432
2013-10-07,1465.746416
2013-10-10,1563.787432
2013-10-13,1697.692472
2013-10-16,1998.787574
2013-10-19,2338.404231
2013-10-22,2628.205873
2013-10-25,2810.098723
2013-10-28,3154.265107
2013-10-31,3374.437282
2013-11-03,3678.422494
2013-11-06,3825.559394
2013-11-09,3802.868954
2013-11-12,3933.395133
2013-11-15,4295.967252
2013-11-18,4826.532482
2013-11-21,4837.318485
2013-11-24,4981.782593
2013-11-27,4999.095478
2013-11-30,5370.127723
2013-12-03,5747.66581
2013-12-06,6234.333072
2013-12-09,6445.325811
2013-12-12,7078.181464
2013-12-15,7626.34587
2013-12-18,8114.884685
2013-12-21,9005.070763
2013-12-24,9414.272755
2013-12-27,9731.244642
2013-12-30,9770.024596
2014-01-02,10323.51955
2014-01-05,10582.9204
2014-01-08,11760.62969
2014-01-11,12813.23626
2014-01-14,14305.12696
2014-01-17,15285.62766
2014-01-20,15605.92598
2014-01-23,15821.96893
2014-01-26,16994.94476
2014-01-29,17732.34765
2014-02-01,17822.99199
2014-02-04,19271.88906
2014-02-07,20656.48075
2014-02-10,21087.88513
2014-02-13,21315.11098
2014-02-16,22134.20695
2014-02-19,24359.78848
2014-02-22,26123.49597
2014-02-25,27225.08711
2014-02-28,27313.98535
2014-03-03,29032.72098
2014-03-06,29164.00877
2014-03-09,29671.47449
2014-03-12,31486.98937
2014-03-15,32057.97613
2014-03-18,33824.37064
2014-03-21,33714.16826
2014-03-24,36430.6187
2014-03-27,38996.44354
2014-03-30,41705.37043
2014-04-02,41778.36545
2014-04-05,44836.18624
2014-04-08,47780.19966
2014-04-11,48128.63571
2014-04-14,49108.70777
2014-04-17,52541.97141
2014-04-20,55940.88978
2014-04-23,55738.05725
2014-04-26,56994.02461
2014-04-29,57043.58463
2014-05-02,59124.3279
2014-05-05,60375.43246
2014-05-08,62954.26662
2014-05-11,63920.17144
2014-05-14,67604.47014
2014-05-17,71358.1518
2014-05-20,74314.99306
2014-05-23,76704.13835
2014-05-26,77693.31191
2014-05-29,79388.73574
2014-06-01,79597.02104
2014-06-04,86799.36343
2014-06-07,88537.81468
2014-06-10,87321.39742
2014-06-13,88915.53635
2014-06-16,95511.14891
2014-06-19,105251.717
2014-06-22,113782.959
2014-06-25,118931.4626
2014-06-28,122564.4173
2014-07-01,124527.4699
2014-07-04,120435.8687
2014-07-07,118958.0069
2014-07-10,125885.2804
2014-07-13,128751.7384
2014-07-16,128806.1563
2014-07-19,134448.4799
2014-07-22,138379.3318
2014-07-25,133947.2535
2014-07-28,131646.2068
2014-07-31,138928.4508
2014-08-03,145962.6768
2014-08-06,142370.1587
2014-08-09,142042.1068
2014-08-12,156186.9054
2014-08-15,168551.6459
2014-08-18,166590.1139
2014-08-21,173869.381
2014-08-24,185549.6474
2014-08-27,187620.0106
2014-08-30,191175.9856
2014-09-02,205492.2852
2014-09-05,210825.0291
2014-09-08,214261.8716
2014-09-11,212119.2529
2014-09-14,215235.7892
2014-09-17,230941.5697
2014-09-20,251183.753
2014-09-23,256320.1904
2014-09-26,242339.0891
2014-09-29,237192.7421
2014-10-02,244492.4536
2014-10-05,247623.8573
2014-10-08,262392.6759
2014-10-11,262629.4035
2014-10-14,254597.3328
2014-10-17,258511.7331
2014-10-20,255280.3365
2014-10-23,257517.4572
2014-10-26,261957.9967
2014-10-29,269178.8897
2014-11-01,277528.2123
2014-11-04,289794.6526
2014-11-07,298142.2085
2014-11-10,290766.3526
2014-11-13,286306.5269
2014-11-16,285462.7945
2014-11-19,287993.9917
2014-11-22,281806.1041
2014-11-25,286019.9368
2014-11-28,280465.5523
2014-12-01,291626.9365
2014-12-04,285903.1498
2014-12-07,286699.9065
